Concurso 	Concurso 	Cidade 	UF
	239		SP
240	240		PR
241	241		BA
	241		CE
	241		GO
	241		RS
242	242		GO
	242		MG
243	243		
244	244		AM
	244		MS
	244		PR
	244		SC
245	245		SP
246	246		BA
	246		MG
247	247		SC
248	248		MG
	248		RJ
	248		SP
249	249		PA
	249		RJ
	249		RR
	249		SP
250	250		MG
251	251		DF
	251		MG
	251		SP
252	252		DF
253	253		PR
	253		RS
	253		SE
254	254		BA
	254		CE
	254		SP
255	255		SP
256	256		DF
	256		RJ
	256		RS
	256		SP
257	257		AM
	257		SP
258	258		CE
	258		MG
	258		PI
	258		SP
259	259		
260	260		MS
261	261		BA
	261		SP
262	262		PR
263	263		
264	264		BA
	264		MG
	264		MS
	264		RJ
	264		SC
	264		SP
265	265		
266	266		GO
	266		MS
	266		MT
	266		SP
267	267		MS
	267		SP
268	268		SP
269	269		PE
270	270		
271	271		PR
	271		RS
	271		SP
272	272		AC
	272		MS
	272		PA
	272		SP
273	273		MG
	273		PA
274	274		AM
	274		RS
	274		SP
275	275		PR
	275		SP
276	276		MG
	276		SP
277	277		GO
	277		MG
	277		RJ
	277		SP
278	278		GO
	278		MG
	278		MS
	278		MT
	278		PA
	278		PE
	278		PR
	278		RJ
	278		RN
	278		RO
	278		SC
	278		SE
	278		SP
279	279		PR
	279		SP
280	280		ES
	280		MG
	280		PA
	280		PE
	280		RJ
281	281		PR
	281		RJ
	281		RO
	281		RS
	281		SP
282	282		MG
	282		SE
	282		SP
283	283		BA
	283		GO
	283		PR
	283		RJ
	283		RS
284	284		GO
	284		PB
	284		SC
	284		SP
285	285		BA
	285		PR
	285		RJ
286	286		BA
	286		MG
	286		SE
287	287		MG
	287		RJ
	287		SP
288	288		RJ
289	289		BA
	289		GO
	289		MG
	289		MT
	289		PR
	289		RJ
	289		SP
290	290		CE
	290		PI
	290		RS
	290		SP
291	291		AP
	291		MG
	291		RS
	291		SP
292	292		AL
293	293		DF
	293		PE
	293		SP
294	294		MT
	294		SP
	294		TO
295	295		MT
	295		TO
296	296		SP
297	297		
298	298		MG
	298		SP
299	299		SP
300	300		DF
	300		ES
	300		PR
	300		RS
	300		SP
301	301		BA
	301		PR
	301		SC
	301		SP
302	302		PE
	302		PR
	302		RJ
	302		SC
	302		SP
303	303		BA
	303		SC
	303		SP
304	304		
305	305		MG
	305		RO
	305		SC
306	306		
307	307		BA
	307		DF
	307		ES
	307		MG
	307		PB
	307		PR
	307		RJ
	307		SC
	307		SE
	307		SP
308	308		MG
	308		SP
309	309		MG
	309		SP
310	310		SP
311	311		GO
	311		MG
	311		MS
	311		RJ
	311		SP
312	312		ES
313	313		ES
	313		PR
	313		SP
314	314		SP
315	315		MS
	315		PE
	315		RJ
	315		SP
316	316		SP
317	317		GO
	317		SP
318	318		BA
	318		GO
	318		SE
	318		SP
319	319		MG
	319		MS
	319		SP
320	320		MG
	320		RJ
	320		SP
321	321		SP
322	322		GO
	322		PR
323	323		BA
324	324		MG
	324		PR
	324		SP
325	325		
326	326		DF
	326		GO
	326		SP
327	327		MG
	327		PE
	327		PR
328	328		PR
	328		SC
329	329		DF
	329		ES
	329		GO
	329		PA
	329		SP
330	330		ES
	330		MA
	330		MG
	330		PA
	330		SP
331	331		MG
	331		PA
	331		PI
	331		PR
	331		SP
332	332		MG
	332		MT
	332		PE
	332		RS
333	333		DF
	333		MG
	333		RJ
	333		SP
334	334		AP
	334		DF
	334		GO
	334		RS
	334		SP
335	335		MS
	335		PR
	335		SP
336	336		AL
	336		PR
	336		RJ
	336		RR
	336		SP
337	337		MT
	337		RJ
	337		RS
338	338		GO
	338		RJ
339	339		BA
	339		GO
	339		RJ
	339		SP
340	340		SP
341	341		PR
342	342		GO
	342		MT
	342		SP
343	343		RJ
344	344		DF
	344		PR
	344		RS
345	345		SP
346	346		AM
	346		BA
	346		MG
	346		PB
	346		RJ
	346		SC
	346		SP
347	347		BA
348	348		SP
349	349		AM
	349		BA
	349		CE
	349		DF
	349		GO
	349		MG
	349		PR
	349		SC
	349		SE
	349		SP
	349		TO
350	350		GO
	350		MG
	350		SC
	350		SP
351	351		AM
	351		PR
352	352		AM
	352		SP
353	353		AM
	353		MG
	353		MT
	353		RJ
	353		RS
	353		SP
354	354		AM
355	355		MG
	355		RJ
	355		RS
	355		SP
356	356		BA
	356		CE
357	357		BA
	357		MG
	357		SC
	357		SP
358	358		SC
	358		SP
359	359		RJ
360	360		SC
	360		SP
361	361		MG
	361		RJ
	361		SP
362	362		AL
	362		MG
	362		PR
	362		RJ
	362		SP
363	363		AL
	363		DF
	363		MG
	363		PE
	363		SP
364	364		DF
	364		MG
	364		RJ
365	365		DF
	365		SP
366	366		AL
	366		BA
	366		CE
	366		MG
	366		MT
	366		PR
	366		RJ
	366		SC
	366		SP
367	367		BA
	367		CE
	367		DF
	367		GO
	367		MG
	367		MT
	367		PE
	367		PR
	367		RJ
	367		RS
	367		SC
	367		SE
	367		SP
	367		TO
368	368		MG
	368		SP
369	369		GO
370	370		GO
	370		MG
	370		SP
371	371		
372	372		BA
	372		GO
	372		MG
	372		RJ
	372		SP
373	373		MG
	373		MT
	373		RJ
	373		SP
374	374		MS
	374		RS
	374		SP
375	375		GO
	375		MT
	375		RJ
	375		SP
376	376		PR
377	377		SP
378	378		RJ
	378		SP
379	379		MG
380	380		MG
381	381		MA
	381		MT
	381		PA
	381		PB
	381		PR
	381		RJ
	381		SP
382	382		SP
383	383		RN
	383		SP
384	384		PR
	384		SP
385	385		ES
	385		GO
	385		MG
	385		MT
	385		SP
386	386		PE
	386		SE
	386		SP
387	387		AL
	387		MG
	387		SC
	387		SE
	387		SP
	387		TO
388	388		
389	389		BA
	389		MG
	389		SP
390	390		PR
	390		SP
391	391		ES
	391		MG
	391		PR
	391		RJ
	391		SP
392	392		
393	393		DF
	393		RJ
	393		SP
394	394		RJ
	394		RS
	394		SC
	394		SP
395	395		AP
	395		PR
	395		RJ
	395		RN
	395		SC
	395		SP
396	396		CE
	396		GO
	396		MA
	396		MG
	396		PR
	396		RJ
	396		SP
397	397		AM
	397		RS
	397		SP
398	398		PE
	398		SP
399	399		MA
	399		MG
	399		RJ
	399		SP
400	400		RJ
	400		SC
401	401		MG
	401		MT
	401		SP
402	402		AM
	402		RJ
	402		SP
403	403		SP
404	404		MA
	404		SP
405	405		GO
	405		PR
	405		SP
406	406		RJ
	406		SP
407	407		GO
	407		SE
	407		SP
408	408		AM
	408		BA
	408		CE
	408		MG
	408		RJ
	408		SP
409	409		MT
	409		PR
	409		RJ
	409		RS
	409		SP
410	410		BA
	410		MG
	410		SP
411	411		PB
	411		SP
	411		TO
412	412		SP
413	413		DF
	413		MG
	413		RS
	413		SP
414	414		MG
415	415		CE
	415		PA
	415		RJ
	415		SP
416	416		BA
	416		PA
	416		RO
	416		SP
417	417		SP
418	418		PA
	418		RO
	418		SE
419	419		ES
	419		MG
	419		RJ
	419		RN
	419		RS
	419		SP
	419		TO
420	420		MG
	420		SP
421	421		MG
422	422		AC
	422		BA
	422		MG
	422		PB
	422		PR
	422		RJ
	422		RO
	422		SC
423	423		SP
424	424		
425	425		ES
	425		GO
	425		RJ
	425		RS
426	426		MG
	426		SP
427	427		MG
	427		SP
428	428		GO
	428		SP
429	429		DF
	429		MG
	429		PE
	429		RJ
	429		SP
430	430	BRASÍLIA	DF
431	431	BUERAREMA	BA
	431	RIO DE JANEIRO	RJ
	431	CAXIAS DO SUL	RS
432	432	FORTALEZA	CE
	432	GOIÂNIA	GO
	432	CORNÉLIO PROCÓPIO	PR
	432	PAICANDU	PR
	432	PORTO ALEGRE	RS
	432	LAGARTO	SE
	432	SÃO BERNARDO DO CAMPO	SP
	432	SÃO PAULO	SP
433	433	BRASÍLIA	DF
	433	Teresina	PI
	433	Ribeirão Preto	SP
	433	Sorocaba	SP
434	434	IPATINGA	MG
	434	ARTUR NOGUEIRA	SP
	434	CORDEIRÓPOLIS	SP
435	435	SALVADOR	BA
	435	SANTO ANDRÉ	SP
436	436	FORMOSA	GO
	436	APERIBE	RJ
	436	CASTILHO	SP
	436	SÃO BERNARDO DO CAMPO	SP
437	437	RIO DE JANEIRO	RJ
438	438	BRASÍLIA	DF
	438	CAMPINAS	SP
439	439	SÃO VICENTE DE MINAS	MG
	439	PIRACICABA	SP
	439	SÃO PAULO	SP
440	440	ARAGARÇAS	GO
	440	CAMPINAS	SP
	440	SÃO PAULO	SP
441	441	MAGÉ	RJ
442	442	FORTALEZA	CE
	442	GOIÂNIA	GO
	442	BELO HORIZONTE	MG
	442	JUIZ DE FORA	MG
	442	CAMETÁ	PA
	442	RIO DE JANEIRO	RJ
	442	FORQUILHINHA	SC
443	443	VILA VELHA	ES
	443	SÃO THOMÉ DAS LETRAS	MG
	443	SALTO	SP
	443	SÃO PAULO	SP
444	444	SALVADOR	BA
	444	SANTA BÁRBARA DO LESTE	MG
	444	GUARATINGUETA	SP
	444	SÃO PAULO	SP
445	445	SALVADOR	BA
	445	PRINCESA ISABEL	PB
	445	CAMPINAS	SP
	445	PALMAS	TO
446	446	BRASÍLIA	DF
	446	GOIÂNIA	GO
	446	VENTANIA	PR
	446	RIO DE JANEIRO	RJ
	446	SÃO PAULO	SP
447	447		SP
448	448	BELÉM	PA
449	449		
450	450	JARAGUÁ DO SUL	SC
	450	BAURU	SP
	450	SANTA MARIA DA SERRA	SP
451	451	ILHÉUS	BA
	451	NAZÁRIO	GO
	451	BELÉM	PA
	451	RIO DE JANEIRO	RJ
	451	MOSSORÓ	RN
	451	Aracaju	SE
	451	EMBU	SP
	451	PRAIA GRANDE	SP
	451	Ribeirão Preto	SP
452	452		
453	453	LAURO DE FREITAS	BA
	453	BRASÍLIA	DF
	453	CASCAVEL	PR
	453	LIMEIRA	SP
454	454		
455	455	MANACAPURU	AM
	455	CACHOEIRO DE ITAPEMIRIM	ES
	455	LUZIÂNIA	GO
	455	SÃO GABRIEL DO OESTE	MS
	455	ARAÇATUBA	SP
	455	Ribeirão Preto	SP
	455	SANTOS	SP
456	456	SERRANÓPOLIS	GO
	456	CATAGUASES	MG
	456	SÃO MIGUEL DO OESTE	SC
	456	SANTANA DE PARNAÍBA	SP
	456	SERTÃOZINHO	SP
	456	SÃO PAULO	SP
457	457	SÃO SEBASTIÃO	SP
458	458	CATALÃO	GO
	458	RIO DE JANEIRO	RJ
	458	GUARUJÁ	SP
	458	ITANHAÉM	SP
	458	LEME	SP
459	459	SÃO LUIS	MA
	459	RIO DE JANEIRO	RJ
	459	SÃO PAULO	SP
460	460	BRASÍLIA	DF
	460	PAPAGAIOS	MG
	460	BLUMENAU	SC
	460	CAMPINAS	SP
	460	FRANCA	SP
	460	MOCOCA	SP
	460	SÃO PAULO	SP
461	461	SALVADOR	BA
	461	CHAPADÃO DO CEU	GO
	461	SÃO MIGUEL DO GUAMA	PA
	461	LONDRINA	PR
	461	SÃO PAULO	SP
462	462		
463	463	SALVADOR	BA
	463	SÃO LUÍS DO CURU	CE
	463	CAMPINAS	SP
	463	HORTOLÂNDIA	SP
	463	Sorocaba	SP
	463	SÃO PAULO	SP
464	464	MONTE SANTO	BA
	464	BELO HORIZONTE	MG
465	465	BELO HORIZONTE	MG
	465	CRUZEIRO	SP
466	466	MACHADO	MG
467	467	BRASÍLIA	DF
	467	TAILÂNDIA	PA
	467	GUARULHOS	SP
	467	PIRACICABA	SP
	467	SÃO PAULO	SP
468	468	ARAXÁ	MG
	468	BELÉM	PA
	468	INGA	PB
	468	RIO DE JANEIRO	RJ
	468	SÃO PAULO	SP
469	469	Ribeirão Preto	SP
	469	SÃO PAULO	SP
470	470	GLÓRIA DE DOURADOS	MS
	470	RIO DE JANEIRO	RJ
	470	SÃO PAULO	SP
471	471	PILAR	AL
472	472	VIÇOSA	MG
	472	Ribeirão Preto	SP
	472	SOCORRO	SP
473	473	SALVADOR	BA
	473	VILA VELHA	ES
	473	CASTELÂNDIA	GO
	473	BELO JARDIM	PE
	473	UMUARAMA	PR
	473	OSASCO	SP
	473	PILAR DO SUL	SP
	473	SÃO PAULO	SP
474	474	NOVA FRIBURGO	RJ
	474	RIO DE JANEIRO	RJ
475	475		
476	476	SÃO PAULO	SP
477	477	MANAUS	AM
	477	FEIRA DE SANTANA	BA
	477	BELO HORIZONTE	MG
	477	PORTO ALEGRE	RS
	477	CAMPINAS	SP
	477	ENGENHEIRO COELHO	SP
	477	SANTO ANDRÉ	SP
478	478	JOÃO PESSOA	PB
	478	CAMARAGIBE	PE
	478	SANTA MARIA	RS
	478	CURITIBANOS	SC
	478	GUARULHOS	SP
	478	SÃO JOSÉ DOS CAMPOS	SP
	478	SÃO VICENTE	SP
479	479	BONFINÓPOLIS	GO
480	480	BRASÍLIA	DF
	480	PORTO ALEGRE	RS
481	481	FILADÉLFIA	BA
	481	IPATINGA	MG
	481	JUIZ DE FORA	MG
	481	CUIABÁ	MT
	481	JAGUARIAÍVA	PR
	481	SÃO PAULO	SP
	481	UBATUBA	SP
482	482	MANACAPURU	AM
	482	EMBU-GUAÇU	SP
	482	SÃO PAULO	SP
	482	SÃO VICENTE	SP
483	483	SALVADOR	BA
	483	MUQUI	ES
	483	CONTAGEM	MG
	483	RIO DE JANEIRO	RJ
	483	MARCELINO RAMOS	RS
484	484	GOIÂNIA	GO
	484	BAURU	SP
	484	JAÚ	SP
485	485	SÃO MATEUS	ES
	485	JABOATÃO DOS GUARARAPES	PE
486	486	ITAPETININGA	SP
	486	MOGI GUAÇU	SP
	486	SÃO PAULO	SP
487	487	CAMPO GRANDE	MS
	487	RIO DE JANEIRO	RJ
	487	ARAÇATUBA	SP
	487	EMBU-GUAÇU	SP
488	488	LAURO DE FREITAS	BA
	488	SALVADOR	BA
	488	RIO VERDE	GO
	488	MARABÁ	PA
	488	SÃO GERALDO DO ARAGUAIA	PA
	488	SÃO MANUEL	SP
489	489	CAMPINA GRANDE	PB
490	490	RIO BRANCO	AC
	490	ALTO ARAGUAIA	MT
	490	SÃO PAULO	SP
491	491	MANAUS	AM
	491	ITAJUBÁ	MG
	491	SÃO GABRIEL DO OESTE	MS
	491	RONDON DO PARÁ	PA
	491	PETROLINA	PE
	491	DIADEMA	SP
	491	SÃO PAULO	SP
	491	TAUBATÉ	SP
492	492	CAMPO GRANDE	MS
	492	JOINVILLE	SC
493	493	CAXAMBÚ	MG
494	494	IPIRANGA DO NORTE	MT
495	495	SALVADOR	BA
	495	BRASÍLIA	DF
	495	MOZARLÂNDIA	GO
	495	SÃO PEDRO DO IVAÍ	PR
	495	PARELHAS	RN
	495	SAUDADES	SC
	495	BOM JESUS DOS PERDÕES	SP
	495	ITÁPOLIS	SP
	495	JUNDIAÍ	SP
	495	SÃO CARLOS	SP
	495	SÃO JOSÉ DOS CAMPOS	SP
	495	SÃO PAULO	SP
496	496	ITABIRINHA	MG
	496	NITEROI	RJ
	496	MOGI DAS CRUZES	SP
	496	SÃO PAULO	SP
497	497	PORTO VELHO	RO
498	498	JOINVILLE	SC
499	499	MACEIÓ	AL
	499	SANTO ANTÔNIO DE JESUS	BA
	499	JANUÁRIA	MG
	499	RECIFE	PE
	499	IBIUNA	SP
500	500	SALVADOR	BA
	500	DIVINÓPOLIS	MG
	500	OLINDA	PE
	500	FREDERICO WESTPHALEN	RS
	500	CURITIBANOS	SC
	500	Florianópolis	SC
	500	CAMPINAS	SP
	500	OSASCO	SP
	500	SANTO ANDRÉ	SP
	500	Sorocaba	SP
	500	SÃO JOSÉ DO RIO PRETO	SP
501	501	FORTALEZA	CE
	501	BELO HORIZONTE	MG
	501	TOLEDO	PR
	501	NOVO HAMBURGO	RS
	501	GASPAR	SC
	501	GUARATINGUETA	SP
	501	SANTOS	SP
	501	SÃO PAULO	SP
	501	PALMAS	TO
502	502	TABOCAS DO BREJO VELHO	BA
	502	FORTALEZA	CE
503	503	GOIÂNIA	GO
	503	SÃO PAULO	SP
504	504		
505	505	JEQUIÉ	BA
506	506	PATOS DE MINAS	MG
507	507	BRASÍLIA	DF
	507	ITABIRINHA	MG
	507	LAGUNA	SC
	507	ASSIS	SP
	507	SÃO PAULO	SP
	507	TAUBATÉ	SP
508	508	Manhumirim	MG
	508	Teresina	PI
	508	Santa Vitória do Palmar	RS
	508	SÃO PAULO	SP
509	509	POJUCA	BA
	509	BRASÍLIA	DF
	509	SÃO JOÃO DEL REI	MG
	509	MANDAGUARI	PR
	509	RIO DE JANEIRO	RJ
	509	CAXIAS DO SUL	RS
	509	Aracaju	SE
	509	MOITA BONITA	SE
	509	ARAÇATUBA	SP
510	510	ANÁPOLIS	GO
	510	SÃO LUIS	MA
	510	SÃO LEOPOLDO	RS
	510	SÃO PAULO	SP
511	511	COLATINA	ES
	511	BELO HORIZONTE	MG
	511	SÃO JOSÉ DOS PINHAIS	PR
	511	CAMPINAS	SP
	511	SÃO PAULO	SP
512	512	BRASÍLIA	DF
513	513	GOIÂNIA	GO
	513	MACHADO	MG
	513	Teresina	PI
	513	RIO DE JANEIRO	RJ
	513	BAURU	SP
514	514	MANAUS	AM
	514	NAZARÉ PAULISTA	SP
515	515	BRASÍLIA	DF
	515	MARINGÁ	PR
	515	TRINDADE DO SUL	RS
	515	TUBARÃO	SC
	515	PENÁPOLIS	SP
	515	SÃO PAULO	SP
516	516	ARMAZÉM	SC
517	517	SALVADOR	BA
518	518	SALVADOR	BA
519	519	BRASÍLIA	DF
	519	LAVRAS	MG
	519	CASCAVEL	PR
	519	UMUARAMA	PR
	519	FRANCA	SP
	519	GUARULHOS	SP
	519	SÃO PAULO	SP
520	520	ARAGUARI	MG
	520	RIO DE JANEIRO	RJ
	520	PORTO VELHO	RO
	520	SARANDI	RS
	520	CAPELA DO ALTO	SP
521	521	CRUZEIRO DO SUL	AC
	521	MANAUS	AM
	521	RIO DE JANEIRO	RJ
	521	SÃO PAULO	SP
522	522	JOÃO PESSOA	PB
523	523	FEIRA DE SANTANA	BA
	523	VOLTA REDONDA	RJ
524	524	CHAPADINHA	MA
	524	PALMEIRA DAS MISSÕES	RS
	524	SANTA BÁRBARA D OESTE	SP
	524	SÃO PAULO	SP
525	525	ITABERABA	BA
	525	DOURADOS	MS
	525	Teresina	PI
	525	CAMPINAS	SP
526	526	SALVADOR	BA
	526	BELÉM	PA
	526	CAMBÉ	PR
	526	LAGES	SC
527	527	LIMEIRA	SP
	527	SÃO PAULO	SP
528	528	Aracaju	SE
529	529	ARARUAMA	RJ
530	530	RIO DE JANEIRO	RJ
	530	COTIA	SP
531	531	RIO DE JANEIRO	RJ
532	532	BARREIRAS	BA
	532	SÃO LOURENÇO DA MATA	PE
	532	CAMPINAS	SP
	532	OURINHOS	SP
533	533	IMBITUBA	SC
	533	PENÁPOLIS	SP
534	534	BRASÍLIA	DF
	534	CONSELHEIRO LAFAIETE	MG
	534	SELVÍRIA	MS
	534	CAMPINAS	SP
	534	GUARUJÁ	SP
	534	Ribeirão Preto	SP
	534	SÃO PAULO	SP
535	535	VILA VELHA	ES
